District Name,Commodity,Modal Price (Rs./Quintal)
Agar Malwa,Garlic,7181.538461538462
Agar Malwa,Lentil (Masur)(Whole),5773.313725490196
Agar Malwa,Maize,3600.0
Agar Malwa,Soyabean,4228.8421052631575
Agra,Apple,9538.962962962964
Agra,Arhar (Tur/Red Gram)(Whole),7515.0
Agra,Bajra(Pearl Millet/Cumbu),2366.823379923761
Agra,Banana,2495.7303370786517
Agra,Bhindi(Ladies Finger),1483.6054913294797
Agra,Brinjal,1218.9285714285713
Agra,Cabbage,1147.6098535286285
Agra,Carrot,1032.3615635179153
Agra,Cauliflower,1729.9418040737148
Agra,Garlic,10014.567567567568
Agra,Ginger(Green),3166.6472303206997
Agra,Green Chilli,2256.8372423596306
Agra,Green Gram (Moong)(Whole),7991.71186440678
Agra,Gur(Jaggery),4075.698729582577
Agra,Lentil (Masur)(Whole),6976.7307692307695
Agra,Maize,2348.3333333333335
Agra,Mango,3930.3703703703704
Agra,Mustard,6085.288259958072
Agra,Wheat,2656.77350859454
Ahmedabad,Arhar (Tur/Red Gram)(Whole),6695.392857142857
Ahmedabad,Bajra(Pearl Millet/Cumbu),2300.0
Ahmedabad,Bhindi(Ladies Finger),4061.4545454545455
Ahmedabad,Brinjal,2100.3636363636365
Ahmedabad,Cabbage,1236.6425992779784
Ahmedabad,Carrot,2006.851851851852
Ahmedabad,Cauliflower,2012.6353790613719
Ahmedabad,Cotton,6755.518151815181
Ahmedabad,Ginger(Green),3760.0
Ahmedabad,Green Chilli,3490.3636363636365
Ahmedabad,Mustard,5205.322580645161
Ajmer,Apple,6910.780669144981
Ajmer,Bajra(Pearl Millet/Cumbu),2305.2608695652175
Ajmer,Banana,2946.0377358490564
Ajmer,Bhindi(Ladies Finger),2640.7894736842104
Ajmer,Brinjal,1278.5185185185185
Ajmer,Cabbage,1206.6231343283582
Ajmer,Carrot,1731.9444444444443
Ajmer,Cauliflower,1506.4814814814815
Ajmer,Garlic,12816.450216450217
Ajmer,Green Chilli,2280.740740740741
Ajmer,Green Gram (Moong)(Whole),6168.402843601896
Ajmer,Jowar(Sorghum),2953.7301587301586
Ajmer,Maize,2928.6319444444443
Ajmer,Mango,5002.958579881657
Ajmer,Mustard,5770.994047619048
Ajmer,Wheat,2633.2579185520362
Alappuzha,Bhindi(Ladies Finger),3768.3895486935867
Alappuzha,Brinjal,3692.5089877010405
Alappuzha,Cabbage,3343.3632998413536
Alappuzha,Carrot,5863.721185510428
Alappuzha,Cauliflower,4111.178985949909
Alappuzha,Garlic,22550.7399577167
Alappuzha,Ginger(Green),8677.183833116036
Alappuzha,Green Chilli,4735.302835051546
Alappuzha,Mango,5036.458333333333
Aligarh,Apple,8003.121149897331
Aligarh,Arhar (Tur/Red Gram)(Whole),10208.307692307691
Aligarh,Bajra(Pearl Millet/Cumbu),2288.30078125
Aligarh,Banana,2537.0740103270223
Aligarh,Bhindi(Ladies Finger),1813.9816232771823
Aligarh,Brinjal,1367.5646371976648
Aligarh,Cabbage,1504.4594594594594
Aligarh,Carrot,1254.9086757990867
Aligarh,Cauliflower,1947.8236397748592
Aligarh,Garlic,12008.333333333334
Aligarh,Ginger(Green),4016.0097719869705
Aligarh,Green Chilli,2550.3575297941493
Aligarh,Green Gram (Moong)(Whole),8279.208633093525
Aligarh,Gur(Jaggery),4512.050898203593
Aligarh,Lentil (Masur)(Whole),7032.737226277372
Aligarh,Maize,2198.458110516934
Aligarh,Mango,2404.285714285714
Aligarh,Mustard,5864.765432098766
Aligarh,Wheat,2611.1927194860814
Alipurduar,Bhindi(Ladies Finger),2549.1071428571427
Alipurduar,Brinjal,1998.427672955975
Alipurduar,Cabbage,1388.9068100358422
Alipurduar,Carrot,4703.225806451613
Alipurduar,Cauliflower,2184.493670886076
Alipurduar,Garlic,25561.711711711712
Alipurduar,Green Chilli,4920.076923076923
Alirajpur,Arhar (Tur/Red Gram)(Whole),5119.959183673469
Alirajpur,Bajra(Pearl Millet/Cumbu),1960.7105263157894
Alirajpur,Cotton,6828.082043343653
Alirajpur,Green Gram (Moong)(Whole),6191.214285714285
Alirajpur,Groundnut,4753.5213414634145
Alirajpur,Lentil (Masur)(Whole),5000.0
Alirajpur,Maize,2135.306859205776
Alirajpur,Soyabean,3921.931385006353
Alwar,Apple,11322.708333333334
Alwar,Arhar (Tur/Red Gram)(Whole),6087.5
Alwar,Bajra(Pearl Millet/Cumbu),2339.3236929922136
Alwar,Banana,3353.4632034632036
Alwar,Bhindi(Ladies Finger),2640.0
Alwar,Brinjal,1978.6580086580086
Alwar,Cabbage,1700.4166666666667
Alwar,Carrot,1439.047619047619
Alwar,Cauliflower,2274.8091603053435
Alwar,Cotton,7040.177829099307
Alwar,Garlic,13733.223684210527
Alwar,Green Chilli,3216.6051660516605
Alwar,Jowar(Sorghum),3637.227848101266
Alwar,Maize,2417.0
Alwar,Mango,6190.833333333333
Alwar,Mustard,6053.9816393442625
Alwar,Wheat,2659.6308316430022
Ambedkarnagar,Apple,8574.311023622047
Ambedkarnagar,Banana,2684.4820717131474
Ambedkarnagar,Bhindi(Ladies Finger),1923.435582822086
Ambedkarnagar,Brinjal,1664.763779527559
Ambedkarnagar,Cabbage,1124.375
Ambedkarnagar,Carrot,1542.2295081967213
Ambedkarnagar,Cauliflower,1428.75
Ambedkarnagar,Garlic,11056.333333333334
Ambedkarnagar,Ginger(Green),5352.419354838709
Ambedkarnagar,Green Chilli,3328.4361233480176
Ambedkarnagar,Lentil (Masur)(Whole),6855.33203125
Ambedkarnagar,Mango,2612.5
Ambedkarnagar,Mustard,5512.388059701492
Ambedkarnagar,Wheat,2577.8497409326424
Amethi,Apple,8491.913461538461
Amethi,Arhar (Tur/Red Gram)(Whole),11123.333333333334
Amethi,Banana,2796.2946428571427
Amethi,Bhindi(Ladies Finger),1809.1967871485945
Amethi,Brinjal,1618.8035019455253
Amethi,Cabbage,1214.3702290076335
Amethi,Carrot,1643.0985915492959
Amethi,Cauliflower,1102.5375939849623
Amethi,Garlic,15627.954545454546
Amethi,Ginger(Green),5150.283757338552
Amethi,Green Chilli,3175.5145631067962
Amethi,Gur(Jaggery),5002.64705882353
Amethi,Lentil (Masur)(Whole),7004.310344827586
Amethi,Mango,2766.6666666666665
Amethi,Mustard,5564.0
Amethi,Wheat,2717.814432989691
Amreli,Arhar (Tur/Red Gram)(Whole),6377.298245614035
Amreli,Bajra(Pearl Millet/Cumbu),2480.2035763411277
Amreli,Bhindi(Ladies Finger),3069.0031152647975
Amreli,Brinjal,2296.6560509554142
Amreli,Cabbage,1499.8417721518988
Amreli,Cauliflower,2476.25
Amreli,Cotton,7096.371313672922
Amreli,Garlic,16087.0
Amreli,Ginger(Green),4371.739130434783
Amreli,Green Chilli,3258.9622641509436
Amreli,Green Gram (Moong)(Whole),7248.119460500963
Amreli,Groundnut,4972.28427037271
Amreli,Jowar(Sorghum),3506.9926470588234
Amreli,Maize,2557.719387755102
Amreli,Mustard,5379.737704918033
Amreli,Soyabean,3813.256611165524
